address,area,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year,property_type,property_feature,lat,lng
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,,,4.0,4.0,4.0,Have certificate,Full,9.3,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.84260474,106.654591
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,Tây,,4.0,4.0,5.0,Have certificate,,8.6,2024,Unknown,Unknown,10.71429255,106.7369703
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",50.0,Nam,Nam,2.0,2.0,2.0,Have certificate,,3.9,2024,"Nhà mặt phố, mặt tiền",Unknown,10.78639401,106.7584979
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65.0,,,4.0,4.0,5.0,,,4.2,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.88427611,106.6384817
"Hẻm 183, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",40.0,Tây,,4.0,5.0,4.0,Have certificate,Full,9.1,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.771957,106.674927
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66.0,,,4.0,5.0,3.0,Have certificate,,8.95,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.73910923,106.6236253
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74.0,,,2.0,4.0,3.0,Have certificate,Full,6.83,2024,Unknown,Unknown,10.802596,106.6277749
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,,,2.0,2.0,2.0,Have certificate,,4.4,2024,Unknown,Unknown,10.75100783,106.7016508
"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45.0,Đông Nam,,,,,Sale contract,Basic,7.0,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.8451639,106.836478
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,,,4.0,4.0,3.0,Have certificate,,6.3,2024,"Nhà mặt phố, mặt tiền",Unknown,10.82778917,106.7158933
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,Tây,Tây,5.0,4.0,5.0,Have certificate,Basic,6.7,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.76552655,106.6131203
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96.0,Đông Nam,,2.0,5.0,5.0,Have certificate,Full,8.5,2024,"Nhà mặt phố, mặt tiền",Unknown,10.76659207,106.6117158
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31.0,Tây Bắc,Tây Bắc,3.0,4.0,3.0,Have certificate,Full,6.8,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7760083,106.6632243
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64.0,,,5.0,6.0,6.0,Have certificate,Full,5.98,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.77083833,106.6023466
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50.0,,,4.0,4.0,4.0,,,7.0,2024,Unknown,Unknown,10.7958184,106.6220132
"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",68.0,,,1.0,3.0,3.0,Have certificate,,2.8,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.85317126,106.6179505
"Đường 826C, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",40.0,Đông,Đông,2.0,2.0,2.0,Have certificate,,1.38,2024,Unknown,Unknown,10.6788694,106.6994635
"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",75.0,Đông Nam,,1.0,3.0,1.0,Have certificate,Full,2.35,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.90951009,106.5911475
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,Tây Nam,Tây Nam,3.0,3.0,4.0,Have certificate,,5.8,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7880813,106.8082996
"Đường Phạm Hùng, Phường 9, Quận 8, Hồ Chí Minh",86.0,,,2.0,8.0,2.0,,,7.6,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.7457177,106.6689618
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",53.0,Tây Bắc,,2.0,4.0,3.0,Have certificate,,4.35,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.83513559,106.6394868
"Dự án KDC Bình Hưng, Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",72.0,,,3.0,4.0,4.0,Have certificate,,8.35,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.72818001,106.6556535
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",40.0,,,1.0,2.0,2.0,Have certificate,Full,2.35,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.75955921,106.5991646
"Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",20.0,,,3.0,2.0,2.0,Have certificate,Full,2.8,2024,Unknown,Unknown,10.78128414,106.6501091
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52.0,Bắc,Bắc,4.0,4.0,3.0,Have certificate,Basic,7.2,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.85898027,106.7680279
"Đường Trịnh Như Khuê, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",98.4,Tây Bắc,Tây Bắc,1.0,3.0,2.0,Have certificate,Full,1.19,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.66453162,106.5710109
"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",26.4,Tây Bắc,,3.0,2.0,1.0,,,3.85,2024,"Nhà mặt phố, mặt tiền",Unknown,10.7699709,106.6886415
"551/263, Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60.0,Đông Nam,,3.0,4.0,5.0,Have certificate,,5.6,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.88639147,106.6378606
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.0,Tây Nam,Tây Nam,2.0,3.0,4.0,Have certificate,Basic,6.0,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.85778433,106.7771692
"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",60.0,,,4.0,4.0,4.0,Have certificate,Basic,6.5,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.8294822,106.7139549
"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",11.0,,,3.0,2.0,2.0,Have certificate,Full,1.85,2024,"Nhà mặt phố, mặt tiền",Unknown,10.7611893,106.7052402
"Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",110.0,,,2.0,2.0,2.0,Have certificate,,5.0,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.86839433,106.6168534
"22/30, Đường 21, Phường 8, Gò Vấp, Hồ Chí Minh",54.0,,,4.0,4.0,4.0,,,5.7,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.84028433,106.6519166
"Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",58.3,Tây,Tây,3.0,4.0,5.0,Have certificate,Full,5.5,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.82083306,106.6002905
"86, Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",53.0,,,4.0,3.0,4.0,Have certificate,Basic,6.5,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.79535574,106.6528877
"Đường Số 9, Phường 9, Gò Vấp, Hồ Chí Minh",30.0,,,2.0,2.0,2.0,,,3.75,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.84562497,106.6525819
"Phường 7, Quận 8, Hồ Chí Minh",101.0,,,1.0,,,,,4.8,2024,"Nhà mặt phố, mặt tiền",Unknown,10.70944409,106.6236077
"Hẻm 47/, Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",20.0,,,2.0,2.0,2.0,Have certificate,Full,3.45,2024,Unknown,Unknown,10.80659069,106.7078753
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",72.0,,,5.0,4.0,4.0,Have certificate,,9.5,2024,Unknown,Unknown,10.84899823,106.6519097
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",48.0,Tây Nam,,4.0,3.0,4.0,Have certificate,Full,6.2,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.84260474,106.654591
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",40.0,Đông Nam,,4.0,4.0,3.0,Have certificate,Full,5.6,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.84541113,106.6647845
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",65.0,,,3.0,4.0,4.0,Have certificate,,10.0,2024,Unknown,Unknown,10.7876547,106.6781922
"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",60.0,Tây Nam,,4.0,4.0,4.0,Have certificate,Basic,8.0,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.78205579,106.6735993
"Đường Dương Công Khi, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",177.0,,,2.0,3.0,4.0,Have certificate,Basic,5.46,2024,"Nhà mặt phố, mặt tiền",Unknown,10.9099676,106.5952007
"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",84.0,Tây Bắc,Tây Bắc,3.0,8.0,6.0,Have certificate,,6.5,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7232583,106.6198097
"Phường An Phú, Quận 2, Hồ Chí Minh",80.0,,,3.0,5.0,5.0,Have certificate,Basic,6.9,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.8075298,106.7512871
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",52.0,,,,1.0,1.0,Sale contract,,7.0,2024,Unknown,Unknown,10.8364014,106.8443424
"Phường Phước Bình, Quận 9, Hồ Chí Minh",70.0,,,4.0,5.0,,Have certificate,,7.5,2024,Unknown,Unknown,10.8137558,106.7721204
"Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",58.0,,,3.0,3.0,3.0,Have certificate,Full,6.39,2024,Unknown,Unknown,10.77928207,106.6242754
"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",52.0,,,3.0,4.0,,,,5.3,2024,Unknown,Unknown,10.8423764,106.7311034
"Đường Kinh Dương Vương, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",94.0,,,,,,Have certificate,,4.8,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.7355242,106.6133494
"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",45.5,,,3.0,3.0,3.0,,Full,3.25,2024,"Nhà mặt phố, mặt tiền",Unknown,10.7724883,106.6844472
"Đường 182, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",71.0,,,2.0,2.0,2.0,Have certificate,Basic,4.9,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.83766271,106.7931349
"Đường 53, Phường 14, Gò Vấp, Hồ Chí Minh",64.0,Bắc,Bắc,4.0,4.0,5.0,Have certificate,,8.0,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.85140378,106.6439654
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",88.6,,,3.0,3.0,4.0,Have certificate,,9.5,2024,Unknown,Unknown,10.84264335,106.6621436
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90.0,Đông Nam,Đông Nam,3.0,4.0,4.0,Have certificate,,5.95,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.7880813,106.8082996
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",102.6,Đông,Đông,1.0,2.0,2.0,Have certificate,Full,5.6,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.7320111,106.7314696
"Phường 13, Phú Nhuận, Hồ Chí Minh",62.0,,,5.0,5.0,,Have certificate,Full,8.9,2024,"Nhà mặt phố, mặt tiền",Unknown,10.79111659,106.6723374
